"MS.Zoning","Lot.Area","Alley","Lot.Shape","Land.Contour","Lot.Config","Land.Slope","Neighborhood","Condition.1","Bldg.Type","House.Style","Overall.Qual","Overall.Cond","Year.Built","Year.Remod.Add","Roof.Style","Exterior.1st","Mas.Vnr.Type","Mas.Vnr.Area","Exter.Qual","Exter.Cond","Foundation","Bsmt.Qual","Total.Bsmt.SF","Heating.QC","Central.Air","Electrical","Gr.Liv.Area","Bsmt.Full.Bath","Bsmt.Half.Bath","Full.Bath","Half.Bath","Bedroom.AbvGr","Kitchen.AbvGr","Kitchen.Qual","TotRms.AbvGrd","Functional","Fireplaces","Fireplace.Qu","Garage.Type","Garage.Cars","Garage.Area","Paved.Drive","Wood.Deck.SF","Open.Porch.SF","Enclosed.Porch","X3Ssn.Porch","Screen.Porch","Pool.Area","Fence","Misc.Val","Mo.Sold","Yr.Sold","Sale.Type","Sale.Condition","SalePrice"
"RL",11885,"NP","Reg","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","2Story",8,5,2001,2001,"Gable","VinylSd","Brick",108,"Gd","TA","PConc","Gd",1299,"Ex","Y","SBrkr",1872,1,0,2,1,3,1,"Ex",7,"Typ",1,"TA","BuiltIn",2,531,"Y",160,122,0,0,0,0,"NP",0,11,2009,"WD ","Normal",261500
"RL",8749,"NP","Reg","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","2Story",7,5,2002,2002,"Gable","VinylSd","None",0,"Gd","TA","PConc","Gd",840,"Ex","Y","SBrkr",1725,0,0,2,1,3,1,"Gd",6,"Typ",0,"NP","Attchd",2,550,"Y",0,48,0,0,0,0,"NP",0,11,2009,"WD ","Normal",198500
"RL",11250,"NP","Reg","Lvl","Corner","Gtl","CollgCr","Norm","1Fam","2Story",7,5,2001,2001,"Gable","VinylSd","None",0,"Gd","TA","PConc","Gd",944,"Ex","Y","SBrkr",1870,0,0,2,1,3,1,"Gd",6,"Typ",0,"NP","Attchd",2,608,"Y",256,43,0,0,0,0,"NP",0,5,2009,"WD ","Normal",211000
"RL",15750,"NP","Reg","Lvl","FR","Gtl","CollgCr","Street","1Fam","1Story",8,5,1999,2000,"Gable","VinylSd","Brick",260,"Gd","TA","PConc","Gd",1462,"Ex","Y","SBrkr",1513,1,0,2,0,2,1,"Gd",5,"Typ",1,"TA","Attchd",2,521,"Y",135,34,0,0,0,0,"NP",0,6,2009,"WD ","Normal",220000
"RL",11883,"NP","Reg","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","1Story",7,5,1996,1996,"Hip","VinylSd","Brick",196,"Gd","TA","PConc","Gd",1504,"Ex","Y","SBrkr",1504,1,0,2,0,3,1,"Gd",6,"Typ",1,"TA","Attchd",2,478,"Y",115,66,0,0,0,0,"NP",0,6,2009,"WD ","Normal",203000
"RL",12782,"NP","Reg","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","1Story",8,5,2002,2003,"Hip","HdBoard","Brick",164,"Gd","TA","PConc","Ex",1822,"Ex","Y","SBrkr",1828,1,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd",2,523,"Y",194,144,0,0,0,0,"NP",0,6,2009,"WD ","Normal",279500
"RL",8750,"NP","Reg","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","1Story",7,5,1997,1998,"Gable","VinylSd","Brick",209,"Gd","TA","PConc","Gd",1417,"Ex","Y","SBrkr",1417,1,0,2,0,3,1,"Gd",7,"Typ",1,"TA","Attchd",2,511,"Y",60,0,0,0,117,0,"NP",0,8,2009,"WD ","Normal",210000
"RL",9375,"NP","Reg","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","2Story",7,5,1997,1998,"Gable","VinylSd","Brick",573,"TA","TA","PConc","Gd",1057,"Ex","Y","SBrkr",2034,1,0,2,1,3,1,"Gd",8,"Typ",0,"NP","Attchd",2,645,"Y",576,36,0,0,0,0,"GdPrv",0,2,2009,"WD ","Normal",219500
"RL",8750,"NP","Reg","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","2Story",7,5,1996,1996,"Gable","VinylSd","None",0,"Gd","TA","PConc","Gd",880,"Ex","Y","SBrkr",1716,0,0,2,1,2,1,"Gd",7,"Typ",1,"TA","Attchd",2,512,"Y",0,120,0,0,0,0,"NP",0,7,2009,"WD ","Normal",191000
"RL",9100,"NP","Reg","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","1Story",7,5,2001,2001,"Gable","VinylSd","None",0,"Gd","TA","PConc","Gd",1212,"Ex","Y","SBrkr",1212,0,0,2,0,3,1,"Gd",6,"Typ",0,"NP","Attchd",2,573,"Y",356,0,0,0,0,0,"NP",0,6,2009,"WD ","Normal",178000
"RL",9750,"NP","Reg","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","1Story",7,5,2000,2001,"Gable","VinylSd","Brick",171,"Gd","TA","PConc","Gd",1630,"Ex","Y","SBrkr",1630,0,0,2,0,3,1,"Gd",6,"Typ",1,"TA","Attchd",2,451,"Y",74,234,0,0,0,0,"NP",0,10,2009,"WD ","Normal",213000
"RM",4435,"NP","Reg","Lvl","Inside","Gtl","CollgCr","Norm","townhouse","1Story",6,5,2003,2004,"Gable","VinylSd","Brick",170,"Gd","TA","PConc","Gd",848,"Ex","Y","SBrkr",848,1,0,1,0,1,1,"Gd",4,"Typ",0,"NP","Attchd",2,420,"Y",140,0,0,0,0,0,"NP",0,6,2009,"WD ","Normal",144000
"RM",4435,"NP","Reg","Lvl","Inside","Gtl","CollgCr","Norm","townhouse","1Story",6,5,2003,2003,"Gable","VinylSd","Brick",170,"Gd","TA","PConc","Gd",848,"Ex","Y","SBrkr",848,1,0,1,0,1,1,"Gd",4,"Typ",0,"NP","Attchd",2,420,"Y",140,0,0,0,0,0,"NP",0,5,2009,"WD ","Normal",140000
"RL",10200,"NP","Reg","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","1Story",8,5,2007,2007,"Gable","VinylSd","Brick",180,"Gd","TA","PConc","Gd",1578,"Ex","Y","SBrkr",1602,1,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd",3,810,"Y",0,48,0,0,195,0,"NP",0,1,2009,"WD ","Normal",293200
"RL",9313,"NP","Irreg","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","2Story",7,5,2004,2004,"Gable","VinylSd","None",0,"Gd","TA","PConc","Gd",864,"Ex","Y","SBrkr",1728,0,0,2,1,3,1,"Gd",7,"Typ",0,"NP","Attchd",2,572,"Y",187,56,0,0,0,0,"NP",0,4,2009,"WD ","Normal",190000
"RL",8487,"NP","Reg","Lvl","FR","Gtl","CollgCr","Norm","1Fam","1Story",7,5,2004,2004,"Gable","VinylSd","Brick",210,"Gd","TA","PConc","Gd",1500,"Ex","Y","SBrkr",1500,0,0,2,0,3,1,"Gd",6,"Typ",0,"NP","Attchd",2,570,"Y",192,36,0,0,0,0,"NP",0,8,2009,"WD ","Normal",190000
"RL",8633,"NP","Reg","Lvl","FR","Gtl","CollgCr","Norm","1Fam","2Story",6,5,2005,2005,"Gable","VinylSd","None",0,"Gd","TA","PConc","Gd",738,"Ex","Y","SBrkr",1476,1,0,2,1,3,1,"Gd",7,"Typ",0,"NP","Attchd",2,540,"Y",100,35,0,0,0,0,"NP",0,2,2009,"WD ","Normal",173500
"RL",11069,"NP","Reg","Lvl","Corner","Gtl","CollgCr","Norm","1Fam","2Story",6,5,2007,2007,"Gable","VinylSd","None",0,"Gd","TA","PConc","Gd",608,"Ex","Y","SBrkr",1396,0,0,2,1,3,1,"Gd",6,"Typ",1,"Gd","BuiltIn",2,440,"Y",100,36,0,0,0,0,"NP",0,7,2009,"WD ","Normal",170000
"RL",8777,"NP","Reg","Lvl","Inside","Gtl","Edwards","Street","1Fam","1Story",4,5,1949,2003,"Gable","VinylSd","None",0,"TA","TA","CBlock","NP",0,"Ex","Y","SBrkr",1126,0,0,2,0,2,1,"Gd",5,"Typ",0,"NP","Detchd",2,520,"N",0,96,0,0,0,0,"MnPrv",0,5,2009,"WD ","Normal",108000
"RL",9937,"NP","Reg","Lvl","Corner","Gtl","Edwards","Norm","1Fam","1Story",5,7,1964,1999,"Hip","MetalSd","None",0,"TA","Gd","PConc","TA",1486,"Ex","Y","SBrkr",1486,1,0,1,0,3,1,"TA",7,"Typ",0,"NP","Detchd",2,480,"Y",0,0,0,0,0,0,"MnPrv",0,3,2009,"WD ","Normal",167000
"RL",8877,"NP","Reg","Lvl","Inside","Sloped","Edwards","Norm","1Fam","1Story",4,6,1938,1958,"Gable","MetalSd","None",0,"TA","TA","CBlock","TA",816,"Ex","Y","SBrkr",816,1,0,1,0,2,1,"TA",3,"Typ",1,"Gd","Detchd",1,288,"Y",0,0,0,0,0,0,"NP",0,5,2009,"WD ","Normal",100000
"RL",7950,"NP","Irreg","NonLvl","Corner","Gtl","Edwards","Norm","1Fam","2Story",6,6,1977,1977,"Hip","HdBoard","Brick",140,"TA","TA","CBlock","TA",690,"TA","Y","SBrkr",1426,0,0,1,1,3,1,"TA",6,"Typ",0,"NP","Attchd",2,440,"Y",252,0,0,0,0,0,"MnPrv",0,7,2009,"WD ","Normal",159500
"RL",10682,"NP","Reg","Lvl","Inside","Gtl","Edwards","Norm","1Fam","1Story",4,6,1960,1971,"Gable","HdBoard","None",0,"TA","TA","CBlock","TA",1014,"TA","Y","SBrkr",1149,1,0,1,0,3,1,"TA",7,"ATyp",0,"NP","Other",1,544,"Y",0,240,0,0,0,0,"MnPrv",0,7,2009,"WD ","Normal",127000
"RL",7200,"NP","Reg","Lvl","Inside","Gtl","Edwards","Norm","1Fam","SLvl",6,6,1976,1976,"Hip","MetalSd","Brick",255,"TA","TA","CBlock","TA",1041,"Ex","Y","SBrkr",1125,1,0,1,0,3,1,"TA",6,"Typ",1,"TA","Detchd",1,352,"Y",296,0,0,0,0,0,"GdWo",0,10,2009,"WD ","Abnorml",125000
"RL",13286,"NP","Irreg","Lvl","Inside","Gtl","Edwards","Norm","1Fam","1Story",9,5,2007,2008,"Hip","CemntBd","Stone",340,"Ex","TA","PConc","Ex",1698,"Ex","Y","SBrkr",1698,1,0,2,0,3,1,"Ex",8,"Typ",1,"Gd","Attchd",3,768,"Y",327,64,0,0,0,0,"NP",0,2,2009,"WD ","Normal",320000
"RL",9405,"NP","Reg","Lvl","Inside","Gtl","Edwards","Norm","1Fam","1Story",5,9,1947,2008,"Hip","VinylSd","None",0,"TA","Gd","CBlock","TA",698,"Ex","Y","SBrkr",698,0,1,1,0,2,1,"TA",4,"Typ",0,"NP","NP",0,0,"Y",0,200,0,0,0,0,"NP",0,6,2009,"WD ","Normal",118000
"RL",11767,"NP","Reg","Lvl","Inside","Gtl","Edwards","Norm","1Fam","1Story",5,5,1950,1950,"Gable","MetalSd","None",0,"TA","TA","CBlock","Fa",1078,"TA","Y","FuseA",1368,1,0,1,0,3,1,"TA",6,"ATyp",0,"NP","Attchd",1,195,"Y",0,41,211,0,0,0,"NP",900,6,2009,"WD ","Normal",120000
"RL",4060,"NP","Reg","Lvl","Corner","Gtl","Edwards","Street","1Fam","1Story",5,8,1922,1950,"Gable","Wood","None",0,"TA","TA","PConc","Fa",864,"Ex","Y","SBrkr",864,0,0,1,0,2,1,"TA",4,"Typ",0,"NP","NP",0,0,"Y",0,96,0,0,0,0,"NP",0,7,2009,"WD ","Normal",99900
"RL",10926,"NP","Reg","Lvl","Inside","Gtl","Edwards","Norm","multifam","1Story",5,5,1959,1959,"Hip","VinylSd","Brick",74,"TA","TA","CBlock","TA",1678,"TA","Y","SBrkr",1678,0,0,2,0,6,2,"TA",10,"Typ",0,"NP","NP",0,0,"Y",0,0,0,0,0,0,"NP",0,8,2009,"WD ","Normal",119900
"RL",11767,"NP","Reg","Lvl","Inside","Gtl","Edwards","Norm","1Fam","1Story",5,5,1956,1956,"Hip","HdBoard","Brick",259,"TA","TA","CBlock","TA",1150,"Ex","Y","SBrkr",1560,0,0,1,0,2,1,"TA",7,"ATyp",1,"TA","Attchd",1,313,"Y",0,0,0,0,0,0,"NP",0,5,2009,"WD ","Normal",103500
"RL",12354,"P","Reg","Lvl","Corner","Gtl","Edwards","Norm","1Fam","1.5Fin",6,8,1920,2000,"Gable","Wood","None",0,"TA","TA","BrkTil","TA",684,"Gd","Y","SBrkr",1196,0,0,1,0,3,1,"Gd",7,"Typ",0,"NP","Detchd",2,528,"Y",0,46,0,0,0,0,"GdPrv",800,8,2009,"Contract","Normal",110000
"RL",8212,"P","Reg","Lvl","Inside","Gtl","Edwards","Norm","1Fam","1.5Fin",5,6,1941,1950,"Gable","Wood","None",0,"TA","TA","CBlock","TA",720,"Ex","Y","SBrkr",1298,0,0,1,0,3,1,"TA",6,"Typ",2,"Gd","Detchd",1,256,"Y",84,0,0,0,0,0,"NP",0,9,2009,"WD ","Normal",122000
"RL",10998,"P","Reg","Lvl","Inside","Gtl","Edwards","Norm","1Fam","1.5Fin",5,5,1941,1960,"Gable","Wood","None",0,"TA","TA","CBlock","TA",984,"Ex","Y","SBrkr",1604,0,0,2,0,3,1,"TA",6,"ATyp",0,"NP","Detchd",2,660,"Y",0,68,0,0,0,0,"NP",0,7,2009,"WD ","Normal",117000
"RM",6300,"P","Reg","Lvl","Corner","Gtl","Other","Norm","1Fam","1.5Fin",5,4,1938,1950,"Gable","MetalSd","Brick",88,"TA","TA","PConc","TA",832,"TA","Y","SBrkr",1268,0,0,1,1,3,1,"TA",7,"Typ",2,"Gd","Other",1,250,"Y",0,0,55,0,0,0,"NP",0,7,2009,"WD ","Abnorml",160000
"RM",4500,"P","Irreg","NonLvl","Inside","Gtl","Other","Norm","1Fam","1.5Fin",5,5,1932,2000,"Gable","VinylSd","None",0,"TA","TA","BrkTil","TA",793,"Ex","Y","SBrkr",1520,0,0,1,0,3,1,"TA",6,"Typ",0,"NP","Detchd",1,281,"Y",0,0,56,0,0,0,"NP",0,7,2009,"WD ","Abnorml",159434
"RL",8400,"NP","Reg","NonLvl","Inside","Gtl","Other","Norm","1Fam","1Story",2,5,1920,1950,"Gable","Wood","None",0,"TA","TA","CBlock","TA",290,"TA","N","FuseF",438,0,0,1,0,1,1,"TA",3,"Typ",0,"NP","Detchd",1,246,"N",0,0,0,0,0,0,"NP",0,1,2009,"WD ","Normal",60000
"RL",9900,"NP","Reg","Lvl","Inside","Gtl","Other","Norm","1Fam","1.5Fin",6,7,1940,1950,"Gable","VinylSd","None",0,"TA","TA","BrkTil","TA",778,"TA","Y","SBrkr",1489,0,0,2,0,3,1,"TA",7,"Typ",1,"Gd","Detchd",1,240,"Y",335,0,0,0,0,0,"GdWo",0,7,2009,"WD ","Normal",139500
"RL",5707,"NP","Reg","NonLvl","Inside","Gtl","Other","Street","1Fam","2Story",6,6,1935,1950,"Gable","Wood","None",0,"TA","TA","BrkTil","TA",583,"Gd","Y","FuseF",1242,0,0,1,1,3,1,"TA",6,"Typ",1,"Gd","Detchd",1,180,"Y",329,96,0,0,0,0,"NP",0,3,2009,"WD ","Normal",105000
"RL",7804,"NP","Reg","Lvl","Inside","Gtl","Other","Norm","1Fam","1.5Fin",4,3,1928,1950,"Gable","Wood","None",0,"TA","TA","BrkTil","TA",1122,"TA","Y","SBrkr",1981,1,0,2,0,4,1,"Gd",7,"ATyp",2,"TA","Detchd",2,576,"Y",431,44,0,0,0,0,"MnPrv",0,12,2009,"WD ","Normal",135000
"RL",8574,"NP","Reg","Lvl","Inside","Gtl","Crawfor","Norm","1Fam","1Story",6,8,1916,2000,"Gable","Stucco","None",0,"Gd","TA","BrkTil","TA",816,"Ex","Y","SBrkr",1232,0,0,1,0,3,1,"Gd",6,"Typ",1,"Gd","Detchd",2,440,"Y",0,0,180,0,0,0,"NP",0,10,2009,"WD ","Normal",147500
"RL",6171,"NP","Reg","Lvl","Inside","Gtl","Other","Norm","1Fam","1.5Fin",6,6,1925,1990,"Gable","Wood","None",0,"TA","TA","BrkTil","TA",976,"Ex","Y","SBrkr",1608,0,0,2,1,3,1,"Gd",7,"Typ",1,"Gd","Detchd",1,216,"Y",147,16,0,0,0,0,"MnPrv",0,10,2009,"WD ","Normal",137450
"RL",7200,"NP","Reg","Lvl","Inside","Gtl","Other","Street","1Fam","2Story",7,9,1936,2007,"Gable","Wood","None",0,"Gd","Gd","PConc","Gd",560,"Ex","Y","SBrkr",1135,1,0,1,0,3,1,"Gd",6,"Typ",0,"NP","Detchd",2,576,"Y",256,0,0,0,0,0,"MnPrv",0,4,2009,"WD ","Normal",155000
"RL",7558,"NP","Reg","NonLvl","Inside","Gtl","Crawfor","Norm","1Fam","1.5Fin",6,6,1928,1950,"Gable","Brick","None",0,"TA","TA","BrkTil","TA",896,"Gd","Y","SBrkr",1913,0,0,1,1,3,1,"TA",9,"Typ",1,"TA","Detchd",2,342,"Y",0,0,0,0,0,0,"NP",0,3,2009,"WD ","Normal",177000
"RL",6292,"NP","Reg","Lvl","Inside","Gtl","Other","Norm","1Fam","1.5Fin",7,7,1928,1950,"Gable","Wood","None",0,"TA","TA","BrkTil","TA",861,"Gd","Y","SBrkr",1477,0,1,2,0,3,1,"TA",6,"Typ",1,"Gd","Detchd",1,216,"Y",0,50,0,0,0,0,"NP",0,8,2009,"WD ","Normal",145000
"RL",13680,"NP","Reg","NonLvl","Inside","Sloped","Crawfor","Norm","1Fam","1.5Fin",5,6,1940,1950,"Gable","Wood","None",0,"TA","TA","CBlock","TA",840,"Ex","Y","SBrkr",1567,1,0,1,1,2,1,"TA",6,"ATyp",2,"TA","Detchd",2,440,"Y",0,21,150,0,0,0,"GdPrv",0,2,2009,"WD ","Normal",205000
"RL",7500,"NP","Irreg","NonLvl","Inside","Gtl","Crawfor","Norm","1Fam","2Story",6,7,1942,1950,"Gable","Wood","None",0,"TA","TA","CBlock","TA",771,"Ta","Y","SBrkr",1494,0,0,1,0,3,1,"Gd",7,"Typ",2,"Gd","Attchd",1,213,"Y",0,0,0,0,224,0,"NP",0,11,2009,"WD ","Normal",177500
"RL",9600,"NP","Irreg","NonLvl","Inside","Gtl","Crawfor","Norm","1Fam","1.5Fin",5,7,1940,1950,"Gable","MetalSd","None",0,"Gd","Gd","BrkTil","TA",728,"Ex","Y","SBrkr",1308,1,0,1,1,2,1,"TA",7,"ATyp",2,"TA","Detchd",1,256,"Y",0,70,0,0,0,0,"NP",0,6,2009,"WD ","Normal",160000
"RL",14680,"P","Irreg","NonLvl","Inside","Gtl","Crawfor","Norm","1Fam","1Story",5,4,1960,1960,"Gable","MetalSd","None",0,"TA","TA","CBlock","TA",1273,"Ex","Y","SBrkr",1273,0,0,1,0,2,1,"TA",5,"Typ",0,"NP","Attchd",1,307,"Y",483,0,0,0,115,0,"MnPrv",0,6,2009,"WD ","Normal",155000
"RL",13360,"P","Irreg","NonLvl","Inside","Gtl","Crawfor","Norm","1Fam","1Story",5,7,1921,2006,"Gable","Wood","None",0,"TA","Gd","BrkTil","Gd",876,"Ex","Y","SBrkr",964,1,0,1,0,2,1,"TA",5,"Typ",0,"NP","Detchd",2,432,"Y",0,0,44,0,0,0,"NP",0,8,2009,"WD ","Normal",163500
"RL",7681,"NP","Irreg","Lvl","FR","Gtl","Crawfor","Norm","1Fam","1.5Fin",5,6,1921,1950,"Gable","Wood","None",0,"TA","TA","BrkTil","TA",731,"Ex","Y","SBrkr",1343,0,0,1,1,3,1,"TA",7,"Typ",1,"Gd","Detchd",1,186,"Y",192,0,102,0,0,0,"NP",0,7,2009,"WD ","Normal",154900
"RL",9100,"NP","Reg","Lvl","Inside","Gtl","Crawfor","Street","1Fam","1Story",5,6,1954,1954,"Gable","Brick","None",0,"TA","Gd","BrkTil","TA",1112,"Ex","Y","SBrkr",1112,1,0,1,0,2,1,"TA",6,"Typ",1,"Gd","Attchd",1,390,"Y",0,0,0,0,0,0,"MnPrv",0,10,2009,"WD ","Family",144800
"RL",12000,"NP","Reg","NonLvl","Inside","Gtl","Crawfor","Norm","1Fam","2Story",7,7,1941,1950,"Gable","MetalSd","None",0,"TA","TA","CBlock","TA",704,"Ex","Y","SBrkr",1564,0,0,1,1,3,1,"TA",7,"Typ",1,"Gd","Attchd",1,234,"Y",0,0,0,0,0,0,"NP",0,7,2009,"WD ","Normal",174500
"RL",13339,"NP","Irreg","Lvl","Inside","Gtl","Crawfor","Norm","1Fam","1Story",6,6,1960,1960,"Gable","HdBoard","Stone",132,"TA","TA","CBlock","TA",1561,"TA","Y","SBrkr",1561,1,0,2,0,3,1,"TA",6,"Typ",1,"Gd","Attchd",2,463,"Y",0,148,0,0,120,0,"NP",0,5,2009,"WD ","Normal",193000
"RL",15600,"NP","Reg","NonLvl","Inside","Gtl","Crawfor","Norm","1Fam","1.5Fin",5,7,1949,2005,"Gable","Brick","None",0,"TA","TA","BrkTil","TA",1067,"Ta","N","SBrkr",1523,1,0,2,0,3,1,"TA",7,"ATyp",1,"TA","Attchd",1,295,"Y",0,0,81,0,0,0,"NP",0,10,2009,"WD ","Normal",158000
"RL",14000,"NP","Reg","Lvl","Inside","Gtl","Crawfor","Norm","1Fam","1Story",6,8,1950,2004,"Gable","HdBoard","None",0,"TA","Gd","CBlock","TA",1092,"Ex","Y","SBrkr",1152,0,1,1,0,3,1,"Gd",6,"Typ",1,"Gd","Attchd",1,300,"Y",0,36,0,0,0,0,"GdPrv",0,8,2009,"WD ","Family",158500
"RL",13607,"NP","Irreg","Lvl","Inside","Gtl","Crawfor","Norm","1Fam","SLvl",6,6,1986,1986,"Gable","VinylSd","Brick",242,"TA","Gd","CBlock","TA",572,"Gd","Y","SBrkr",1982,1,0,2,1,3,1,"TA",6,"Typ",1,"TA","BuiltIn",2,501,"Y",400,112,0,0,0,0,"NP",1500,4,2009,"WD ","Normal",208000
"RL",17597,"NP","Reg","NonLvl","Inside","Gtl","Crawfor","Norm","1Fam","1Story",7,9,1971,2009,"Hip","Brick","None",0,"Gd","Gd","CBlock","Gd",1803,"TA","Y","SBrkr",2365,1,0,2,0,3,1,"Ex",7,"ATyp",2,"Gd","Attchd",2,551,"Y",200,144,0,0,0,0,"GdPrv",0,7,2009,"WD ","Normal",315000
"RL",21695,"NP","Irreg","Lvl","Corner","Gtl","Crawfor","Norm","1Fam","1Story",6,9,1988,2007,"Hip","Wood","Brick",260,"Gd","Gd","CBlock","Gd",880,"Ex","Y","SBrkr",1680,1,0,2,0,3,1,"Gd",5,"Typ",1,"Gd","Attchd",2,540,"Y",292,44,0,182,0,0,"NP",0,12,2009,"WD ","Normal",222000
"RM",10690,"NP","Reg","Lvl","Inside","Gtl","Other","Norm","1Fam","2Story",5,7,1920,1997,"Hip","VinylSd","None",0,"TA","Gd","CBlock","TA",672,"Gd","Y","FuseA",1344,0,0,1,0,3,1,"TA",6,"Typ",0,"NP","Detchd",1,468,"Y",0,128,218,0,0,0,"NP",0,7,2009,"WD ","Normal",147000
"RM",6402,"NP","Reg","Lvl","Corner","Gtl","Other","Norm","1Fam","2Story",5,5,1920,1950,"Gable","Wood","None",0,"TA","TA","PConc","TA",596,"TA","N","SBrkr",1192,0,0,1,0,3,1,"TA",6,"Typ",0,"NP","Detchd",1,189,"N",0,0,137,0,0,0,"GdWo",0,7,2009,"WD ","Normal",78000
"RM",3843,"NP","Irreg","NonLvl","Inside","Sloped","Crawfor","Norm","townhouse","1Story",8,5,2007,2008,"Hip","CemntBd","Stone",174,"Ex","TA","PConc","Ex",1596,"Ex","Y","SBrkr",1648,1,1,2,0,2,1,"Ex",5,"Typ",1,"Gd","Attchd",2,482,"Y",162,53,0,153,0,0,"NP",0,6,2009,"New","Partial",230000
"RL",10125,"NP","Reg","Lvl","Inside","Gtl","Mitchel","Norm","1Fam","2Story",8,5,2000,2001,"Gable","CemntBd","None",0,"Gd","TA","PConc","Gd",1107,"Ex","Y","SBrkr",2052,0,0,2,1,3,1,"Gd",7,"Typ",1,"TA","BuiltIn",3,642,"Y",210,91,0,0,0,0,"NP",0,5,2009,"WD ","Normal",251000
"RL",12822,"NP","Irreg","Lvl","CulDSac","Gtl","Mitchel","Norm","1Fam","1.5Fin",7,5,2003,2003,"Gable","VinylSd","None",0,"Gd","TA","PConc","Ex",1434,"Ex","Y","SBrkr",2149,1,0,1,1,1,1,"Gd",6,"Typ",1,"Gd","Attchd",2,670,"Y",168,43,0,0,198,0,"NP",0,8,2009,"WD ","Abnorml",239686
"RL",12118,"NP","Irreg","Lvl","CulDSac","Gtl","Mitchel","Norm","1Fam","1Story",7,5,2004,2005,"Hip","VinylSd","Stone",108,"Gd","TA","PConc","Ex",1710,"Ex","Y","SBrkr",1710,0,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd",2,550,"Y",100,48,0,0,180,0,"NP",0,4,2009,"WD ","Normal",240000
"RL",12209,"NP","Irreg","Lvl","CulDSac","Gtl","Mitchel","Norm","1Fam","2Story",6,5,2001,2002,"Gable","VinylSd","None",0,"TA","TA","PConc","Ex",804,"Ex","Y","SBrkr",1961,1,0,2,1,3,1,"Gd",7,"Typ",1,"TA","BuiltIn",2,560,"Y",125,192,0,0,0,0,"NP",0,6,2009,"WD ","Normal",215000
"RL",9750,"NP","Reg","Lvl","Inside","Gtl","Mitchel","Norm","1Fam","SFoyer",6,6,1977,1977,"Gable","Plywood","None",0,"TA","TA","CBlock","TA",902,"Ex","Y","SBrkr",926,1,0,1,0,2,1,"TA",5,"Typ",1,"TA","Attchd",1,351,"Y",319,0,0,0,0,0,"MnPrv",0,4,2009,"WD ","Normal",156450
"RL",9360,"NP","Reg","NonLvl","Inside","Gtl","Mitchel","Norm","1Fam","SFoyer",6,7,1977,1977,"Gable","Plywood","None",0,"TA","TA","CBlock","Gd",957,"TA","Y","SBrkr",1287,1,0,1,1,2,1,"TA",5,"Typ",2,"TA","Attchd",2,541,"Y",302,39,0,0,120,0,"GdWo",0,11,2009,"WD ","Normal",173000
"RL",10125,"NP","Reg","Lvl","Inside","Gtl","Mitchel","Norm","multifam","1.5Fin",5,5,1977,1977,"Gable","Plywood","None",0,"TA","TA","CBlock","NP",0,"TA","Y","SBrkr",1734,0,0,2,0,4,2,"Gd",8,"Typ",0,"NP","Attchd",2,539,"Y",0,0,0,0,0,0,"NP",0,8,2009,"Oth","Normal",126000
"RL",9947,"NP","Irreg","Lvl","CulDSac","Gtl","Mitchel","Norm","1Fam","SLvl",7,5,1990,1991,"Gable","HdBoard","None",0,"TA","TA","PConc","Gd",1188,"Ex","Y","SBrkr",1217,1,0,2,0,3,1,"Gd",6,"Typ",0,"NP","Attchd",2,497,"Y",168,27,0,0,0,0,"GdPrv",0,6,2009,"WD ","Normal",173000
"RL",11070,"NP","Reg","Lvl","Inside","Gtl","Mitchel","Norm","1Fam","1Story",5,5,1991,1991,"Gable","HdBoard","None",0,"TA","TA","PConc","Gd",1582,"TA","Y","SBrkr",1595,1,0,2,0,2,1,"TA",5,"Typ",0,"NP","Detchd",2,672,"Y",0,0,0,0,0,0,"NP",0,4,2009,"Oth","Abnorml",152000
"RL",14375,"NP","Irreg","Lvl","CulDSac","Gtl","Other","Norm","1Fam","SLvl",6,6,1958,1958,"Gable","HdBoard","Brick",541,"TA","TA","CBlock","TA",819,"Gd","Y","FuseA",1344,0,1,1,0,3,1,"Gd",7,"Typ",1,"Gd","Other",2,525,"Y",0,118,0,0,233,0,"NP",0,1,2009,"Oth","Abnorml",137500
"RL",215245,"NP","Irreg","NonLvl","Inside","Sloped","Other","Norm","1Fam","1Story",7,5,1965,1965,"Hip","Brick","None",0,"TA","TA","CBlock","Gd",2136,"TA","Y","SBrkr",2036,2,0,2,0,3,1,"TA",8,"Typ",2,"Gd","Attchd",2,513,"Y",0,0,0,0,0,0,"NP",0,6,2009,"WD ","Normal",375000
